source,target,depth
Rimmed_carbonate_platform,RCP,1
FZ1,Rimmed_carbonate_platform,2
FZ2,Rimmed_carbonate_platform,2
FZ3,Rimmed_carbonate_platform,2
FZ4,Rimmed_carbonate_platform,2
FZ5,Rimmed_carbonate_platform,2
FZ6,Rimmed_carbonate_platform,2
FZ7,Rimmed_carbonate_platform,2
FZ8,Rimmed_carbonate_platform,2
FZ9,Rimmed_carbonate_platform,2
FZ10,Rimmed_carbonate_platform,2
Deep_water_basin,FZ1,1
Deep_shelf,FZ2,1
Toe_of_slope,FZ3,1
Slope,FZ4,1
Platform_margin_reefs,FZ5,1
Platform_margin_shoals,FZ6,1
Open_platform,FZ7,1
Restricted_platform,FZ8,1
Evaporites_platform,FZ9,1
Meteoric_freshwater_zone,FZ10,1
SMF1,FZ1,2
SMF2,FZ1,3
SMF3,FZ1,2
SMF4,FZ1,3
SMF12S,FZ1,8
SMF1,FZ2,2
SMF2,FZ2,3
SMF8,FZ2,2
SMF9,FZ2,2
SMF10,FZ2,2
SMF12S,FZ2,8
SMF2,FZ3,3
SMF3,FZ3,2
SMF4,FZ3,3
SMF12S,FZ3,8
SMF4,FZ4,3
SMF5,FZ4,1
SMF6,FZ4,1
SMF12C,FZ4,3
SMF12S,FZ4,8
SMF16L,FZ4,4
SMF7,FZ5,1
SMF11,FZ5,2
SMF12C,FZ5,3
SMF12S,FZ5,8
SMF16L,FZ5,4
SMF11,FZ6,8
SMF12S,FZ6,3
SMF13,FZ6,3
SMF15C,FZ6,2
SMF8,FZ7,2
SMF9,FZ7,2
SMF10,FZ7,2
SMF12S,FZ7,8
SMF13,FZ7,3
SMF15C,FZ7,2
SMF16L,FZ7,4
SMF17,FZ7,2
SMF18,FZ7,2
SMF20,FZ7,3
SMF12S,FZ8,8
SMF12S,FZ8,8
SMF15M,FZ8,2
SMF15R,FZ8,2
SMF16NL,FZ8,1
SMF17,FZ8,2
SMF18,FZ8,2
SMF19,FZ8,2
SMF20,FZ8,3
SMF21,FZ8,2
SMF22,FZ8,1
SMF23,FZ8,2
SMF24,FZ8,1
SMF15R,FZ9,2
SMF15M,FZ9,2
SMF16L,FZ9,4
SMF19,FZ9,2
SMF20,FZ9,3
SMF21,FZ9,2
SMF23,FZ9,2
SMF25,FZ9,1
SMF26,FZ10,1
MSD26,SMF1,1
MSD25,SMF2,1
MSD24,SMF3,1
MSD23,SMF4,1
MSD22,SMF5,1
MSD21,SMF6,1
MSD20,SMF7,1
MSD19,SMF8,1
MSD18,SMF9,1
MSD17,SMF10,1
MSD16,SMF11,1
MSD15,SMF12S,1
MSD15,SMF12C,1
MSD14,SMF13,1
MSD12,SMF15C,1
MSD12,SMF15R,1
MSD12,SMF15M,1
MSD11,SMF16L,1
MSD11,SMF16NL,1
MSD10,SMF17,1
MSD9,SMF18,1
MSD8,SMF19,1
MSD7,SMF20,1
MSD6,SMF21,1
MSD5,SMF22,1
MSD4,SMF23,1
MSD3,SMF24,1
MSD2,SMF25,1
MSD1,SMF26,1
Grain_Tyes_micro-bioclast,G1t,10
Grain_content_common,G1c,10
Matrix_Tyes_micro-bioclast,M1t,10
Matrix_content_common,M1c,10
Depositional_fabrics_sponge spicules oriented alignment,D1t,10
Fossils_Tyes_siliceous sponge spicule,F1t,10
Fossils_Tyes_calcified sponge spicule,F1t,10
Fossils_content_abundant,F1c,10
Texture_types_mudstone,T1t,10
Texture_types_wackestone,T1t,10
Grain_Tyes_pelagic microfossil,G2t,4
Depositional_fabrics_small-scale ripple cross-lamination and laminae,D2t,4
Fossils_Tyes_echinoderm and mollusk,F2t,4
Fossils_content_abundant,F2c,4
Matrix_Tyes_micrite,M3t,7
Matrix_content_abundant,M3c,7
Fossils_Tyes_spicule_calpionellid,F3t,7
Fossils_Tyes_pelagic foraminifera,F3t,7
Fossils_Tyes_radiolarian,F3t,7
Fossils_Tyes_tentaculitid,F3t,7
Fossils_content_abundant,F3c,7
Grain_Tyes_microbreccia,G4t,9
Grain_Tyes_bioclastic,G4t,9
Grain_Tyes_lithoclastic,G4t,9
Grain_content_common,G4c,9
Grain_sorting_poor sort,G4s,9
Grain_rounding_commonly worn and rounded,G4r,9
Texture_types_packstone,T4t,9
Texture_types_rudstone,T4t,9
Depositional_fabrics_grading texture,D4t,9
Grain_Tyes_allochthonous bioclastic,G5t,8
Texture_types_grainstone,T5t,8
